,Index,title,subjects,contains_profanity
1651,33737,"The Curtezan unmasked; or, The Whoredomes of Jezebel Painted to the Life
With Antidotes against them, or Heavenly Julips to cool Men in the Fever of Lust.","['Conduct of life'
 'Bible. Proverbs, III, 3-4 -- Commentaries -- Early works to 1800' 'Lust'
 'BS']",True
2725,21459,Dick Onslow Among the Redskins,"['Adventure stories' 'Indians of North America -- Juvenile fiction'
 'Overland journeys to the Pacific -- Juvenile fiction' 'PZ']",True
3684,34063,"Fifty Years a Hunter and Trapper
Autobiography, experiences and observations of Eldred Nathaniel Woodcock during his fifty years of hunting and trapping.",['Hunting' 'Trapping' 'SK'],True
3750,2489,"Moby Dick; Or, The Whale","['Whaling -- Fiction' 'Sea stories' 'Psychological fiction'
 'Ship captains -- Fiction' 'Adventure stories' 'Mentally ill -- Fiction'
 'Ahab, Captain (Fictitious character) -- Fiction' 'Whales -- Fiction'
 'Whaling ships -- Fiction' 'PS']",True
4024,29980,"The cock, the mouse, and the little red hen : $b an old tale retold","['Folklore' 'Animals -- Juvenile fiction' ""Children's stories"" 'PZ']",True
4109,12806,"Dick Prescott's Third Year at West Point; Or, Standing Firm for Flag and Honor","['College stories' 'United States Military Academy -- Juvenile fiction'
 'Military cadets -- United States -- Juvenile fiction' 'PZ']",True
5427,41879,"Dick Merriwell's Pranks; Or, Lively Times in the Orient","['Adventure stories' 'Boys -- Juvenile fiction' 'Mystery fiction'
 'Americans -- Middle East -- Juvenile fiction' 'PZ']",True
5478,50275,Dick Kent on Special Duty,"['Adventure stories' 'Royal Canadian Mounted Police -- Juvenile fiction'
 'PZ']",True
5521,12807,"Dick Prescott's Fourth Year at West Point
Or, Ready to Drop the Gray for Shoulder Straps","['College stories' 'United States Military Academy -- Juvenile fiction'
 'Military cadets -- United States -- Juvenile fiction' 'PZ']",True
5802,50021,"An Irish precursor of Dante : $b a study on the Vision of Heaven and Hell ascribed to the eighth-century Irish saint Adamnán, with translation of the Irish text","['Civilization, Celtic, in literature'
 'Dante Alighieri, 1265-1321 -- Criticism and interpretation'
 'Fís Adamnáin' 'Christian literature, Irish -- History and criticism'
 'Heaven -- Christianity -- History of doctrines -- Middle Ages, 600-1500'
 'Hell -- Christianity -- History of doctrines -- Middle Ages, 600-1500'
 'Christian saints -- Ireland' 'Heaven in literature' 'Hell in literature'
 'PB']",True
5948,67658,"White Cockades: An Incident of the ""Forty-Five""","['Jacobite Rebellion, 1745-1746 -- Fiction' 'PS']",True
6163,46143,"Experiments and Observations on the Following Subjects
1. On the preparation, calcination, and medicinal uses of Magnesia Alba. 2. On the solvent qualities of calcined Magnesia. 3. On the variety in the solvent powers of quick-lime, when used in different quantities. 4. On various absorbents, as promoting or retarding putrefaction. 5. On the comparative antiseptic powers of vegetable infusions prepared with lime, &c. 6. On the sweetening properties of fixed air.","['Magnesium carbonate -- Early works to 1800'
 'Magnesium carbonate -- Therapeutic use -- Early works to 1800'
 'Lime -- Early works to 1800' 'Putrefaction -- Early works to 1800' 'QD']",True
6739,52172,"The Structure and Life-history of the Cockroach (Periplaneta orientalis)
An Introduction to the Study of Insects",['Cockroaches' 'QL'],True
6845,64407,"Dick Merriwell's Aëro Dash; Or, Winning Above the Clouds","['Adventure stories' 'Dime novels'
 'Merriwell, Dick (Fictitious character) -- Juvenile fiction' 'PZ']",True
6926,28351,"Dick and His Cat, and Other Tales",['Animals -- Juvenile fiction' 'PZ'],True
7210,20910,"South American Fights and Fighters, and Other Tales of Adventure","['Peru -- History -- Conquest, 1522-1548' 'Dueling'
 'Jones, John Paul, 1747-1792' 'Essex (Whaleship)' 'Tonquin (Ship)'
 'Washita Campaign, 1868-1869'
 'America -- Discovery and exploration -- Spanish' 'Panama -- History'
 'Mexico -- History -- Conquest, 1519-1540' 'F1401']",True
7242,52207,"Dick Kent, Fur Trader","['Adventure stories' 'Royal Canadian Mounted Police -- Juvenile fiction'
 'Canada, Northern -- Juvenile fiction' 'PZ']",True
7454,52385,Dick Kent with the Malemute Mail,"['Adventure stories' 'Royal Canadian Mounted Police -- Juvenile fiction'
 'Smallpox -- Juvenile fiction' 'PZ']",True
7855,21306,Dick o' the Fens: A Tale of the Great East Swamp,"['Dogs -- Juvenile fiction' 'Conduct of life -- Juvenile fiction'
 'Fathers and sons -- Juvenile fiction'
 'Adventure and adventurers -- Juvenile fiction'
 'Natural history -- Juvenile fiction' 'Physicians -- Juvenile fiction'
 'Hunting -- Juvenile fiction' 'Swamps -- Juvenile fiction' 'PZ']",True
7963,60158,Cocke Lorelles Bote,"['English poetry -- Early modern, 1500-1700'
 'Satire, English -- Early works to 1800' 'PR']",True
8475,31556,Dick in the Desert,"['Animals -- Juvenile fiction' 'Conduct of life -- Juvenile fiction'
 'Boys -- Conduct of life -- Juvenile fiction'
 'Fathers and sons -- Juvenile fiction'
 'Natural history -- Juvenile fiction' 'Deserts -- Juvenile fiction'
 'Nevada -- Juvenile fiction' 'Sick -- Juvenile fiction'
 'Sandstorms -- Juvenile fiction' 'PZ']",True
8735,62964,The Peacock Feather: A Romance,"['Love stories' 'England -- Social life and customs -- Fiction'
 'Ex-convicts -- Fiction' 'PR']",True
9789,20618,"The Boy Land Boomer; Or, Dick Arbuckle's Adventures in Oklahoma","['Conduct of life -- Juvenile fiction' 'Adventure stories'
 'Fathers and sons -- Juvenile fiction'
 'Indians of North America -- Juvenile fiction'
 'Youth -- Conduct of life -- Juvenile fiction'
 'Soldiers -- Juvenile fiction'
 'Swindlers and swindling -- Juvenile fiction'
 'Scouting (Reconnaissance) -- Juvenile fiction'
 'Frontier and pioneer life -- Oklahoma -- Juvenile fiction'
 'Oklahoma -- History -- Land Rush, 1889 -- Juvenile fiction' 'PZ']",True
9993,9680,Dickory Cronke,['Didactic fiction' 'Philosophers -- Fiction' 'PR'],True
10416,50431,Dick Kent with the Mounted Police,"['Adventure stories' 'Royal Canadian Mounted Police -- Juvenile fiction'
 'Canada, Northern -- Juvenile fiction' 'PZ']",True
10420,55173,"Golden Dicky, The Story of a Canary and His Friends","['Animals -- Juvenile fiction' 'Birds -- Juvenile fiction'
 'Canaries -- Juvenile fiction' 'PZ']",True
10805,12242,"Poems by Emily Dickinson, Three Series, Complete",['American poetry' 'PS'],True
11796,31017,"Ivory, Apes and Peacocks","['Art' 'Music -- History and criticism'
 'Literature, Modern -- History and criticism' 'PS']",True
