Title,Ease_Score,Download_Count,Index
The Master Spirit,71.3,57,67703
The Family on Wheels,77.9,43,55891
"Three Good Giants
Whose Ancient Deeds are recorded in the Ancient Chronicles",76.2,105,59235
"Drake's Road Book of the Grand Junction Railway
from Birmingham to Liverpool and Manchester",65.5,127,43367
Facts and Speculations on the Origin and History of Playing Cards,62.7,158,45584
"Punch, or the London Charivari, Vol. 98, April 12, 1890",72.8,35,30534
"Patriotic Song
A book of English verse, being an anthology of the patriotic poetry of the British Empire, from the defeat of the Spanish Armada till the death of Queen Victoria",84.1,101,52133
The Community Cook Book,80.3,132,24387
"The snow-image, and other twice-told tales",63.7,321,513
"Dog Breaking
The Most Expeditious, Certain, and Easy Method, Whether Great Excellence or Only Mediocrity Be Required, With Odds and Ends for Those Who Love the Dog and Gun",68.7,89,47808
A Letter to the Kensington Canal Company on the Substitution of the Pneumatic Railway for the Common Railway by Which They Contemplate Extending Their Line of Conveyance,46.9,43,62153
The Emperor — Volume 08,73.8,30,5490
"The Girl's Own Paper, Vol. XX, No. 992, December 31, 1898",79.6,191,52104
The Winds of Time,83,122,24395
Anthony John,83.9,74,66465
"Encyclopaedia Britannica, 11th Edition, ""Ehud"" to ""Electroscope""
Volume 9, Slice 2",56.4,194,35092
"The Poems of Madison Cawein, Volume 5 (of 5)
Poems of meditation and of forest and field",77.3,51,58085
"The Old Man; or, Ravings and Ramblings round Conistone",49.4,68,56462
Towards the Goal,67.1,52,10099
The Normans; told chiefly in relation to their conquest of England,67,93,44920
Punch Cartoons of the Great War,71.5,85,46322
"The Ontario Readers: The High School Reader, 1886",64.8,113,19923
The Young Ice Whalers,77.3,77,67445
"The Motor Rangers on Blue Water; or, The Secret of the Derelict",80.4,55,67899
Library of the World's Best Mystery and Detective Stories,77.6,584,12758
The Industries of Animals,68,120,29816
The Widowing of Mrs. Holroyd: A Drama in Three Acts,88,68,55877
The Melting of Molly,83.1,64,15817
"The 'Scots Brigade,' and other tales",68.6,57,72700
The Last Evolution,72.2,179,27462
